# U[V]    I_diode[A]     I_generator[A]
0.00 0.000000000000e+000 9.999999776483e-003
0.01 3.125870006817e-016 9.899999946356e-003
0.02 7.228845987247e-016 9.800000116229e-003
0.03 1.261435981644e-015 9.700000286102e-003
0.04 1.968331351181e-015 9.600000455976e-003
0.05 2.896193264460e-015 9.499999694526e-003
0.06 4.114092387890e-015 9.399999864399e-003
0.07 5.712691740012e-015 9.300000034273e-003
0.08 7.810991403104e-015 9.200000204146e-003
0.09 1.056519441703e-014 9.100000374019e-003
0.10 1.418032256559e-014 8.999999612570e-003
0.11 1.892549261566e-014 8.899999782443e-003
0.12 2.515394102319e-014 8.799999952316e-003
0.13 3.332932345911e-014 8.700000122190e-003
0.14 4.406022801381e-014 8.600000292063e-003
0.15 5.814547790733e-014 8.499999530613e-003
0.16 7.663356440309e-014 8.399999700487e-003
0.17 1.009008211727e-013 8.299999870360e-003
0.18 1.327537119946e-013 8.200000040233e-003
0.19 1.745633395863e-013 8.100000210106e-003
0.20 2.294421976631e-013 8.000000379980e-003
0.21 3.014753431705e-013 7.899999618530e-003
0.22 3.960252807113e-013 7.799999788404e-003
0.23 5.201302713184e-013 7.699999958277e-003
0.24 6.830286661784e-013 7.600000128150e-003
0.25 8.968472665905e-013 7.499999832362e-003
0.26 1.177502323077e-012 7.400000002235e-003
0.27 1.545887658334e-012 7.299999706447e-003
0.28 2.029424154767e-012 7.199999876320e-003
0.29 2.664107649764e-012 7.100000046194e-003
0.30 3.497187565579e-012 6.999999750406e-003
0.31 4.590674194949e-012 6.899999920279e-003
0.32 6.025970521184e-012 6.800000090152e-003
0.33 7.909927920990e-012 6.699999794364e-003
0.34 1.038277797072e-011 6.599999964237e-003
0.35 1.362860865828e-011 6.500000134110e-003
0.36 1.788905655553e-011 6.399999838322e-003
0.37 2.348124993057e-011 6.300000008196e-003
0.38 3.082148772315e-011 6.200000178069e-003
0.39 4.045618701154e-011 6.100000347942e-003
0.40 5.310260564606e-011 6.000000052154e-003
0.41 6.970208438206e-011 5.900000222027e-003
0.42 9.149033614042e-011 5.799999926239e-003
0.43 1.200894106379e-010 5.700000096112e-003
0.44 1.576280633797e-010 5.599999800324e-003
0.45 2.069008159244e-010 5.499999970198e-003
0.46 2.715757896343e-010 5.400000140071e-003
0.47 3.564670503220e-010 5.299999844283e-003
0.48 4.678942233660e-010 5.200000014156e-003
0.49 6.141525066283e-010 5.099999718368e-003
0.50 8.061287193328e-010 4.999999888241e-003
0.51 1.058114151853e-009 4.900000058115e-003
0.52 1.388866799346e-009 4.800000227988e-003
0.53 1.823008299873e-009 4.700000397861e-003
0.54 2.392860576350e-009 4.599999636412e-003
0.55 3.140837145921e-009 4.499999806285e-003
0.56 4.122621355407e-009 4.399999976158e-003
0.57 5.411298076297e-009 4.300000146031e-003
0.58 7.102797905389e-009 4.200000315905e-003
0.59 9.323038341336e-009 4.100000485778e-003
0.60 1.223731604938e-008 3.999999724329e-003
0.61 1.606253796638e-008 3.899999894202e-003
0.62 2.108347274543e-008 3.800000064075e-003
0.63 2.767388629366e-008 3.700000001118e-003
0.64 3.632437284296e-008 3.600000170991e-003
0.65 4.767888839297e-008 3.500000340864e-003
0.66 6.258277096549e-008 3.399999812245e-003
0.67 8.214531277417e-008 3.299999749288e-003
0.68 1.078228422102e-007 3.199999919161e-003
0.69 1.415268258143e-007 3.100000089034e-003
0.70 1.857662255134e-007 3.000000026077e-003
0.71 2.438342789901e-007 2.900000195950e-003
0.72 3.200541414117e-007 2.799999667332e-003
0.73 4.200987859804e-007 2.699999837205e-003
0.74 5.514160648090e-007 2.600000007078e-003
0.75 7.237813406391e-007 2.499999944121e-003
0.76 9.500257647233e-007 2.400000113994e-003
0.77 1.246991132575e-006 2.300000283867e-003
0.78 1.636783963477e-006 2.200000220910e-003
0.79 2.148424300685e-006 2.099999692291e-003
0.80 2.819992914738e-006 1.999999862164e-003
0.81 3.701485184138e-006 1.900000032037e-003
0.82 4.858520242124e-006 1.800000085495e-003
0.83 6.377228601195e-006 1.700000138953e-003
0.84 8.370665455004e-006 1.600000308827e-003
0.85 1.098724169424e-005 1.499999780208e-003
0.86 1.442170650989e-005 1.399999833666e-003
0.87 1.892973887152e-005 1.300000003539e-003
0.88 2.484692413418e-005 1.200000056997e-003
0.89 3.261374149588e-005 1.100000110455e-003
0.90 4.280835855752e-005 1.000000280328e-003
0.91 5.618977229460e-005 8.999997517094e-004
0.92 7.375394488918e-005 7.999998051673e-004
0.93 9.680844959803e-005 6.999999168329e-004
0.94 1.270694774576e-004 6.000000284985e-004
0.95 1.667897013249e-004 5.000001401640e-004
0.96 2.189259394072e-004 4.000002227258e-004
0.97 2.873597259168e-004 2.999997232109e-004
0.98 3.771845367737e-004 1.999998057727e-004
0.99 4.950874135830e-004 9.999990288634e-005
1.00 6.498451111838e-004 0.000000000000e+000
